trend,id,text
Calleri,1587654113554317300,"Só pra lembrar que o Calleri jogou muito hoje!! https://t.co/pF8opq0XUx"
Calleri,1587654107527094300,"@SaoPauloMiIGrau O próprio Calleri perderia esse gol se fosse na final da sul-americana"
Calleri,1587654110802763800,"RT @realfutebolnews: Depois da derrota na final da Sul-Americana para o Independiente Del Valle, Calleri tem seis gols em sete jogos.  📸 Re…"
Calleri,1587654089999061000,"RT @SaoPauloMiIGrau: boa tentativa calleri mas ainda não perdoei o que aconteceu no dia primeiro de outubro"
Calleri,1587653975771435000,"Se não fosse os gols do Calleri, o São Paulo tava dentro da zona de rebaixamento, se não mandar uns dez embora ano… https://t.co/nWxbQTr728"
Calleri,1587653946247712800,"🇦🇷 🤝 🇨🇱 Jonathan Calleri and Eduardo Vargas scored twice in a great game  ⚽️ @SaoPauloFC and @Atletico tied 2-2 at… https://t.co/YdLcwgZOng"
Calleri,1587653839586357200,"VlSlT https://t.co/wfWGwWtYhd  #Phillies #ナヒーダ #RoçaAFazenda #McCullers #LMD5 #走行距離課税 #WorldSeries2022 #وين_ال… https://t.co/6DGLjhU0qf"
Calleri,1587653741448142800,"@rodrigorieper @gperecinispfc o galo tem um primeiro combate muito forte, é muito diferente Luciano e calleri marca… https://t.co/RNdrNtdCpk"
Calleri,1587653639602319400,"🇦🇷 🤝 🇨🇱 Jonathan Calleri y Eduardo Vargas marcaron por duplicado en un partidazo  ⚽️ @SaoPauloFC y @Atletico iguala… https://t.co/YFng1f65Zb"
Calleri,1587653588096110600,"@Guine_SPFC Obvio que ninguém vai pegar no pé de calleri e Luciano... eles são queridos, talvez se fosse gols perdi… https://t.co/JU7HINoS6X"
Iran,1587654302708940800,"Saudis tell U.S. that Iran may be preparing attack, officials say https://t.co/9fAl37ZPxg"
Iran,1587654300515373000,"RT @Iucascomenta: todos que me criticaram porque votei e fiz mutirão pro vini ficar hoje vai votar em um 3 vezes pior que é o “iran” é meus…"
Iran,1587654299911331800,"RT @euosodrac: O Iran não é um dos melhores participantes mas é do GRUPO B, vimos o GRUPO A salvar Vini, Tiago, Petala então podemos se jun…"
Iran,1587654300196651000,"RT @HaroldoNaLata: Deolane pro Iran “falando tanto de oratória mas tá latindo?”  AAAAA MATOU 🗣🗣🗣🗣"
Iran,1587654299521515500,"todas las amenazas simultáneas esta noche: Irán contra Arabia Saudita, Corea del Norte contra Corea del Sur, . Y luego está Kosovo y serbia"
Iran,1587654297889767400,"RT @elprofeluis07: @UKR_token Eso no tiene lógica, a Irán no le interesa, en estos momentos, atacar a Arabia, el que paso esa información i…"
Iran,1587654295528394800,"RT @tuittafelipe: alô, grupo b! não vamos abandonar o iran, viu? SOMOS #FICAIRAN! 👊🏻"
Iran,1587654295335444500,"Deolane saindo= melhor para o jogo, iria ter nvoas tramas e novos enredos surgindo, mas não vai aconteçer pq roça t… https://t.co/WeKMy2Shas"
Iran,1587654292231659500,"RT @yashar: I was just messaging with a woman in Iran because I was asking her permission to share a video she had posted on social media.…"
Iran,1587654291703079000,"RT @noUpside: Technical indicators tie three to China, three to Iran. Activity fairly standard: create caricature American personas, ingrat…"
Deolane,1587654305628168200,"RT @barbiereservaa: A KERLINE PEITOU A BIA, PETALA E DEOLANE DE UMA VEZ SÓ É ELAAAAAAAAAAAA #RoçaAFazenda"
Deolane,1587654301186691000,"RT @chami1ne: Deolane “Nenhum de vocês vai me humilhar, eu sou a única pessoa que pode fazer mal pra mim mesmo”   PISA MAMÃE #RoçaAFazenda"
Deolane,1587654299806482400,"RT @BueriPoka: @Dra_Deolane Por ti bafuda🤣 https://t.co/sziAiOYMOU"
Deolane,1587654300196651000,"RT @HaroldoNaLata: Deolane pro Iran “falando tanto de oratória mas tá latindo?”  AAAAA MATOU 🗣🗣🗣🗣"
Deolane,1587654299609448400,"RT @bifedurodarita: Deolane para Babi: Você é nojenta, um animal. Que absurdo gente, só sai m3rda da boca dessa mulher!  #RocaAFazenda #A…"
Deolane,1587654297831047200,"Gente eles estão fazendo de propósito e pura manipulação vcs lembram de sexta passada eles deixaram o áudio do repó… https://t.co/eoQcjUfnoz"
Deolane,1587654295335444500,"Deolane saindo= melhor para o jogo, iria ter nvoas tramas e novos enredos surgindo, mas não vai aconteçer pq roça t… https://t.co/WeKMy2Shas"
Deolane,1587654291074031600,"@dudareal9 @mickacomenta @2Eriel Mas vc iria votar se ele não tivesse falado isso? Baba ovo de deolane😊"
Deolane,1587654290667147300,"RT @fx_yanlc4: Quantos RT consigo aqui??      DEOLANE MERECE RESPEITO"
Deolane,1587654290574905300,"RT @ltcxrbs: EITA QUE DEOLANE HABLA! #RoçaAFazenda"
Vargas,1587654276670701600,"RT @Atletico: 💪🏾⚫⚪ FIM DE JOGO! NO MORUMBI, O ATLÉTICO BUSCA O EMPATE CONTRA O SÃO PAULO, 2 A 2, E TRAZ PARA BELO HORIZONTE UM IMPORTANTE P…"
Vargas,1587654265866166300,"AeroPeru Aeroperu Sac Sunarp 14646708, RUC 20607761672, Presidente Cesáreo VARGAS Trujillo, Logramos #Aeroperu,… https://t.co/KkRyGJUkVF"
Vargas,1587654281406124000,"@Mailen_Vargas @emamonicaperez @virenisgreen Súmale a qué la mayoría tienen que nacer por cesaría porque la cabeza… https://t.co/TUkgNQ5zf4"
Vargas,1587654262535983000,"RT @carrizal1k: La Dra. Beatriz Gutiérrez Muller Posteo ayer en su cta.  de Instagram un vídeo de Maradona para darle una pasada a Vargas L…"
Vargas,1587654235365249000,"pensando bem esse empate n foi ruim n, mas é q eu fico nervoso dms e dava p galo ter ganho.. é jogo de 6 pontos, po… https://t.co/ReYta45ieX"
Vargas,1587654192621097000,"RT @RicardoAlemanMx: Para criticar es buena, pero cuándo le piden ayuda No soy médico.  https://t.co/IIekuXNu7S"
Vargas,1587654168034115600,"RT @EdRaposo_: Amanhã estarei no Palácio Duque de Caxias na Presidente Vargas. Dito isso, é inacreditável abrir o Twitter e ver uma fila de…"
Vargas,1587654235856011300,"RT @SinLinea_Mx: Y sí, Vargas Llosa no le atina a una.🤭 https://t.co/X5oZripGxs"
Vargas,1587654150212419600,"RT @CentralDoCAM: “No segundo gol, Eduardo Vargas foi comemorar onde ficou a torcida do Galo no Morumbi. Na volta, disse: ‘A Galoucura furo…"
Vargas,1587654161713209300,"RT @RicardoAlemanMx: Para criticar es buena, pero cuándo le piden ayuda No soy médico.  https://t.co/IIekuXNu7S"
Kerline,1587654305628168200,"RT @barbiereservaa: A KERLINE PEITOU A BIA, PETALA E DEOLANE DE UMA VEZ SÓ É ELAAAAAAAAAAAA #RoçaAFazenda"
Kerline,1587654304315351000,"RT @petalagb: Já que tá rolando um resgate de vídeos antigos, vamos relembrar a Kerline chamando a Bia de piranha? No discurso é tudo muito…"
Kerline,1587654297780641800,"RT @petalagb: Já que tá rolando um resgate de vídeos antigos, vamos relembrar a Kerline chamando a Bia de piranha? No discurso é tudo muito…"
Kerline,1587654303447240700,"Parabéns Kerline 👏 Querendo falar de Feminismo. https://t.co/K24Oy4mKSv"
Kerline,1587654292458045400,"kerline falando que o grupo b não tem argumentos mas ela só fala olhando p lado ou p um amgKKKKKKK próxima semana e kerputa na roçaaaaa"
Kerline,1587654288611885000,"RT @barbiereservaa: A KERLINE PEITOU A BIA, PETALA E DEOLANE DE UMA VEZ SÓ É ELAAAAAAAAAAAA #RoçaAFazenda"
Kerline,1587654288750395400,"RT @Kerline: A beleza de milhões! 💚 #TeamKerline #RoçaAFazenda https://t.co/yt4IJ5VH5p"
Kerline,1587654286724546600,"RT @petalagb: Já que tá rolando um resgate de vídeos antigos, vamos relembrar a Kerline chamando a Bia de piranha? No discurso é tudo muito…"
Kerline,1587654284681830400,"RT @chicobarney: Bárbara Borges, Kerline e Déborah são muito firmes e fortes. Com argumentos. #AFazenda"
Kerline,1587654283767472000,"RT @AFazendaInfos: ✨️DE QUAL LADO VOCÊ ESTÁ?          ⚖️Deolane x Kerline🐙  #RoçaAFazenda #AFazenda14 https://t.co/mAnoxhACfj"
#RoçaAFazenda,1587654302100750300,"RT @Dantinhas: A Bia não fala nada com nada. Ela só repete “não tem argumento não tem argumento” zzzz #RoçaAFazenda"
#RoçaAFazenda,1587654300750291000,"RT @oovinee: LUCAS XERATOBA NA ROÇA AAAAAAAAAA CHUUUUPA SEU OTARIO!! #AFazenda #AFazenda14 #RoçaAFazenda"
#RoçaAFazenda,1587654305628168200,"RT @barbiereservaa: A KERLINE PEITOU A BIA, PETALA E DEOLANE DE UMA VEZ SÓ É ELAAAAAAAAAAAA #RoçaAFazenda"
#RoçaAFazenda,1587654301186691000,"RT @chami1ne: Deolane “Nenhum de vocês vai me humilhar, eu sou a única pessoa que pode fazer mal pra mim mesmo”   PISA MAMÃE #RoçaAFazenda"
#RoçaAFazenda,1587654299911331800,"RT @euosodrac: O Iran não é um dos melhores participantes mas é do GRUPO B, vimos o GRUPO A salvar Vini, Tiago, Petala então podemos se jun…"
#RoçaAFazenda,1587654290574905300,"RT @ltcxrbs: EITA QUE DEOLANE HABLA! #RoçaAFazenda"
#RoçaAFazenda,1587654299609448400,"RT @bifedurodarita: Deolane para Babi: Você é nojenta, um animal. Que absurdo gente, só sai m3rda da boca dessa mulher!  #RocaAFazenda #A…"
